1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-35.22,-42.165,-39.108,-40.168,-38.659,-38.55,-36.945,-35.76,-34.077,-32.401,-30.482,-28.328,-26.044,-23.595,-21.036,-18.519,-15.97,-13.453,-10.99,-8.5372,-6.149,-3.8136,-1.5912,0.50787,2.5394,4.4929,6.3668,8.1525,9.8379,11.428,13.009,14.479,15.845,17.197,18.502,19.722,20.916,22.054,23.149,24.188,25.225,26.168,26.902,27.522,27.923,28.145,28.223,28.131,27.88,27.468,26.944,26.27,25.44,24.657,23.846,23.07,22.279,21.532,20.792,20.082,19.41,18.743,18.111,17.581,17.058,16.583,16.12,15.72,15.367,15.051,14.703,14.439,14.19,13.971,13.753,13.529,13.34,13.202,13.046,12.84,12.644,12.52,12.358,12.175,12.014,11.813,11.6,11.442,11.211,10.929,10.603,10.109,9.4778,8.7277,7.8921,6.9106,5.9164,4.8761,3.6939,2.4691,1.2482,-0.024833,-1.2333,-2.3963,-3.5879,-4.778,-5.9252,-7.1374,-8.3792,-9.6798,-10.914,-12.187,-13.407,-14.646,-15.884,-17.044,-18.222,-19.35,-20.484,-21.592,-22.587,-23.651,-24.616,-25.59,-26.51,-27.373,-28.294,-29.102,-29.94,-30.682,-31.381,-32.115,-32.787,-33.417,-34.056,-34.645,-35.229,-35.782,-36.255,-36.612,-36.884,-37,-37.014,-36.927,-36.727,-36.373,-35.935,-35.328,-34.625,-33.873,-33.066,-32.25,-31.406,-30.543,-29.659,-28.755,-27.874,-27.007,-26.141,-25.284,-24.433,-23.61,-22.83,-22.067,-21.286,-20.544,-19.837,-19.161,-18.459,-17.805,-17.137,-16.5,-15.926,-15.31,-14.714,-14.22,-13.707,-13.2,-12.691,-12.215,-11.774,-11.394,-10.984,-10.591,-10.209,-9.732,-9.1328,-8.4374,-7.656,-6.7748,-5.7963,-4.76,-3.6634,-2.5055,-1.2662,-0.014421,1.1743,2.3371,3.4185,4.4354,5.4144,6.3084,7.2122,8.1114,8.9404,9.7906,10.607,11.432,12.261,13.047,13.877,14.714,15.547,16.397,17.255,18.126,19.005,19.897,20.753,21.642,22.575,23.47,24.355,25.312,26.209,27.15,28.089,29.002,29.964,30.918,31.874,32.824,33.789,34.744,35.606,36.378,36.972,37.445,37.778,37.942,37.957,37.794,37.504,37.06,36.524,35.901,35.302,34.731,34.166,33.609,33.064,32.554,32.08,31.641,31.233,30.843,30.452,30.099,29.787,29.432,29.139,28.844,28.524,28.217,27.874,27.519,27.188,26.857,26.496,26.098,25.696,25.286,24.874,24.443,24.003,23.524,23.071,22.583,22.082,21.583,21.079,20.633,20.103,19.525,18.932,18.324,17.705,17.005,16.314,15.61,14.892,14.127,13.316,12.539,11.78,11.026,10.269,9.5066,8.8198,8.1036,7.3918,6.7087,6.059,5.4313,4.8476,4.2225,3.6416,3.0844,2.5472,2.0257,1.5434,1.1197,0.71339,0.33827,-0.0063871,-0.327,-0.55622,-0.75589,-0.96391,-1.0944,-1.2356,-1.3742,-1.5043,-1.6312,-1.7147,-1.8036,-1.876,-1.9304,-1.9257,-1.8956,-1.8968,-1.8345,-1.7904,-1.713,-1.617,-1.5696,-1.4714,-1.3484,-1.2279,-1.1055,-0.94801,-0.76368,-0.55392,-0.35867,-0.23139,-0.071462,0.079462,0.21834,0.30476,0.43037,0.48507,0.50434,0.51429,0.463,0.44046,0.45874,0.46614,0.46385,0.45633,0.46171,0.45962,0.49848,0.52079,0.53484,0.56567,0.59972,0.60058,0.58463,0.59424,0.60529,0.62559,0.60843,0.58222,0.65933,0.67353,0.65591,0.67142,0.68711,0.72005
3.5475,4.2519,3.9318,3.9464,3.6939,3.617,3.4109,3.2364,2.9895,2.7374,2.4565,2.1944,1.9278,1.638,1.3825,1.1283,0.86045,0.56077,0.27156,0.0030314,-0.26976,-0.54942,-0.84854,-1.1719,-1.4774,-1.7665,-2.0413,-2.3419,-2.6511,-3.0173,-3.3934,-3.8079,-4.2867,-4.7875,-5.3001,-5.8693,-6.4882,-7.1343,-7.7892,-8.501,-9.1644,-9.8338,-10.488,-11.015,-11.454,-11.789,-12.045,-12.179,-12.229,-12.246,-12.13,-11.954,-11.778,-11.529,-11.32,-11.114,-10.938,-10.758,-10.597,-10.456,-10.301,-10.176,-10.038,-9.8632,-9.7269,-9.5656,-9.4247,-9.2673,-9.098,-8.9094,-8.7258,-8.5134,-8.2882,-8.0709,-7.8417,-7.6095,-7.4019,-7.2016,-6.9899,-6.8188,-6.6634,-6.4855,-6.3265,-6.1719,-6.0116,-5.8724,-5.7702,-5.645,-5.5243,-5.4132,-5.21,-4.9642,-4.6877,-4.3991,-4.0726,-3.76,-3.3521,-2.93,-2.5313,-2.1008,-1.6587,-1.2706,-0.93062,-0.61152,-0.30783,-0.037909,0.19445,0.36344,0.54773,0.68986,0.83574,0.91274,0.99198,1.0692,1.1053,1.1499,1.1948,1.2623,1.3259,1.3936,1.5296,1.6493,1.8275,1.9906,2.1613,2.3733,2.5807,2.7968,3.0056,3.2424,3.4883,3.6795,3.8848,4.0537,4.2007,4.3557,4.4951,4.5942,4.6728,4.725,4.7539,4.78,4.7897,4.77,4.7431,4.7264,4.6818,4.6227,4.5591,4.477,4.3934,4.2985,4.1869,4.0658,3.9397,3.8185,3.6866,3.5141,3.3667,3.2221,3.0752,2.9432,2.8033,2.6719,2.5854,2.5088,2.4057,2.3015,2.2414,2.1601,2.1205,2.0984,2.0524,2.0233,1.9854,1.9215,1.866,1.8339,1.8098,1.7705,1.724,1.6532,1.5802,1.5368,1.4561,1.3693,1.2518,1.1128,0.97424,0.83779,0.73122,0.60313,0.42706,0.30302,0.12458,0.018308,-0.21177,-0.44146,-0.47578,-0.56447,-0.61278,-0.70862,-0.7399,-0.6698,-0.63613,-0.50587,-0.4047,-0.12076,0.18928,0.34471,0.59155,0.84552,1.1356,1.4145,1.6424,1.8612,2.0781,2.2478,2.4025,2.5252,2.6079,2.6545,2.6146,2.5426,2.4021,2.2425,2.0434,1.7839,1.5057,1.1847,0.84015,0.48912,0.090735,-0.31708,-0.73114,-1.0735,-1.3933,-1.6995,-1.9528,-2.1584,-2.3291,-2.4686,-2.5955,-2.6561,-2.675,-2.6943,-2.7147,-2.7481,-2.7452,-2.7567,-2.7794,-2.8002,-2.8299,-2.8579,-2.9041,-2.9546,-3.0065,-3.085,-3.1444,-3.2391,-3.3423,-3.4061,-3.478,-3.5567,-3.5971,-3.6163,-3.6313,-3.61,-3.5712,-3.5318,-3.4799,-3.4329,-3.4021,-3.379,-3.3521,-3.3283,-3.3305,-3.3323,-3.3873,-3.4536,-3.5145,-3.5762,-3.6164,-3.634,-3.6098,-3.5706,-3.4873,-3.4027,-3.2725,-3.0851,-2.8978,-2.6961,-2.4908,-2.2742,-2.0561,-1.8247,-1.6093,-1.4488,-1.257,-1.0949,-0.97521,-0.85986,-0.74448,-0.62785,-0.4868,-0.39785,-0.3311,-0.21304,-0.11845,-0.015294,0.083004,0.20423,0.32903,0.42732,0.52084,0.57607,0.66954,0.75677,0.82295,0.89655,0.9593,1.0398,1.0961,1.1556,1.2581,1.3217,1.3512,1.3727,1.3814,1.371,1.3696,1.3391,1.2783,1.2384,1.2004,1.0983,1.0026,0.9241,0.81062,0.70032,0.59224,0.51027,0.42942,0.33582,0.18537,0.033564,-0.074413,-0.14672,-0.20823,-0.22378,-0.24953,-0.28614,-0.35326,-0.38336,-0.37713,-0.32523,-0.24123,-0.17045,-0.1204,-0.089214,-0.058877,0.0050009,0.075226,0.14648,0.19959,0.24629,0.27441,0.2665,0.27625,0.2995,0.33507,0.34435,0.32775,0.36895,0.3751,0.3617,0.37359,0.39169,0.41871
-7.1204,-8.5187,-7.9275,-8.1926,-7.9682,-8.06,-7.8945,-7.8796,-7.7637,-7.6812,-7.5852,-7.4497,-7.3566,-7.222,-7.0641,-6.8945,-6.6815,-6.493,-6.2407,-6.012,-5.7734,-5.5081,-5.2618,-5.0101,-4.7663,-4.558,-4.3835,-4.2364,-4.1067,-4.0547,-4.0338,-4.06,-4.1586,-4.323,-4.5285,-4.8027,-5.0861,-5.4092,-5.7839,-6.1757,-6.5603,-6.9374,-7.3113,-7.6268,-7.9075,-8.1398,-8.3531,-8.5086,-8.6108,-8.6716,-8.6818,-8.674,-8.6515,-8.6193,-8.5871,-8.538,-8.485,-8.408,-8.3547,-8.2968,-8.2229,-8.1581,-8.0827,-7.9822,-7.8908,-7.7805,-7.6649,-7.5419,-7.4069,-7.2499,-7.0906,-6.9444,-6.7772,-6.618,-6.4548,-6.2742,-6.1287,-5.9908,-5.8641,-5.7405,-5.6364,-5.5364,-5.4477,-5.3932,-5.334,-5.2884,-5.2708,-5.2617,-5.2849,-5.2906,-5.2987,-5.3122,-5.3321,-5.3614,-5.3766,-5.4306,-5.4752,-5.4902,-5.5007,-5.4631,-5.4514,-5.4617,-5.4649,-5.4743,-5.5053,-5.5512,-5.6024,-5.697,-5.8421,-6.0287,-6.2606,-6.5232,-6.8092,-7.1363,-7.4742,-7.7801,-8.0978,-8.4095,-8.7081,-8.976,-9.216,-9.4273,-9.6197,-9.7791,-9.9007,-9.9913,-10.083,-10.159,-10.232,-10.261,-10.272,-10.264,-10.262,-10.231,-10.202,-10.158,-10.119,-10.098,-10.038,-9.9592,-9.9121,-9.854,-9.8043,-9.7264,-9.6522,-9.5669,-9.4846,-9.3646,-9.2278,-9.0751,-8.9121,-8.7156,-8.5112,-8.2951,-8.1004,-7.8924,-7.6819,-7.4616,-7.2626,-7.0519,-6.8185,-6.5858,-6.3726,-6.1438,-5.9107,-5.6596,-5.4147,-5.1805,-4.9622,-4.7333,-4.5171,-4.3382,-4.1693,-3.9957,-3.8395,-3.7173,-3.6105,-3.5208,-3.4352,-3.3548,-3.298,-3.2628,-3.2241,-3.1984,-3.1982,-3.2154,-3.2143,-3.2361,-3.2644,-3.3007,-3.334,-3.3579,-3.4159,-3.4897,-3.58,-3.6651,-3.8033,-3.971,-4.0922,-4.2396,-4.4061,-4.6193,-4.8684,-5.1159,-5.4024,-5.6964,-6.0156,-6.3235,-6.6503,-7.0554,-7.4528,-7.8796,-8.3082,-8.744,-9.1873,-9.6207,-10.043,-10.478,-10.895,-11.296,-11.663,-12.025,-12.362,-12.673,-12.939,-13.181,-13.386,-13.577,-13.738,-13.877,-14.012,-14.128,-14.223,-14.296,-14.355,-14.394,-14.416,-14.416,-14.405,-14.36,-14.291,-14.21,-14.117,-13.995,-13.884,-13.764,-13.653,-13.569,-13.468,-13.379,-13.307,-13.219,-13.145,-13.053,-12.973,-12.899,-12.815,-12.724,-12.609,-12.497,-12.356,-12.187,-11.991,-11.784,-11.558,-11.31,-11.026,-10.72,-10.421,-10.11,-9.7983,-9.5119,-9.2483,-9.0033,-8.7698,-8.5545,-8.3593,-8.1918,-8.047,-7.9047,-7.7778,-7.6807,-7.5654,-7.4356,-7.3283,-7.2047,-7.0823,-6.9524,-6.7995,-6.6474,-6.4893,-6.2952,-6.0905,-5.8916,-5.6802,-5.4656,-5.2496,-5.0732,-4.8835,-4.702,-4.5284,-4.3499,-4.2083,-4.0554,-3.9111,-3.7718,-3.6311,-3.4788,-3.3327,-3.2016,-3.0832,-2.9581,-2.8545,-2.7452,-2.6499,-2.5507,-2.4577,-2.3781,-2.3136,-2.2253,-2.1512,-2.0954,-2.047,-2.0012,-1.9683,-1.9563,-2.002,-2.0473,-2.0872,-2.1468,-2.214,-2.2748,-2.3126,-2.3534,-2.3734,-2.3853,-2.3487,-2.2719,-2.1694,-2.0432,-1.874,-1.7003,-1.5304,-1.3443,-1.1731,-1.0237,-0.88861,-0.76457,-0.65852,-0.58884,-0.54645,-0.53035,-0.5127,-0.49587,-0.49311,-0.47015,-0.40409,-0.35755,-0.31784,-0.26291,-0.21459,-0.17617,-0.12735,-0.087614,-0.051394,-0.018019,0.0071188,-0.00051377,-0.00030092,0.0042553,-0.0054305,-0.0032685,0.0036829,-0.0057714,-0.004206,-0.0075202,-0.0042365,-0.020844,-0.015967
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
